match_id,snapshot_id,hand_id,hand_number,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0HNRNZ41HQ9J7JEKNFJX,,,hermes,match_start,5000000,0,5000000,2026-05-11T15:38:08.952673+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0HW06WFRXDJYWM6FQQ6J,,,openclaw,match_start,5000000,0,5000000,2026-05-11T15:38:09.152128+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0JVS71BYWW2MQB0MDXWR,01KRBV0JVMWRX2MR9R50JGKKGX,1,hermes,hand_start,5000000,0,5000000,2026-05-11T15:38:10.169139+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0JVS6MGAV9QNA6ESJQ5T,01KRBV0JVMWRX2MR9R50JGKKGX,1,openclaw,hand_start,5000000,0,5000000,2026-05-11T15:38:10.169614+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0VACJ2P64T7YFKWZ374T,01KRBV0JVMWRX2MR9R50JGKKGX,1,hermes,hand_end,4900000,0,4900000,2026-05-11T15:38:18.828791+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0VAF71NAN7Z2DTCGTZ75,01KRBV0JVMWRX2MR9R50JGKKGX,1,openclaw,hand_end,5100000,872,5099128,2026-05-11T15:38:18.831798+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0WN9VKDGG5HQCJK8PF77,01KRBV0WN5FJWMHP5ND68G3F72,2,hermes,hand_start,4900000,0,4900000,2026-05-11T15:38:20.201621+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0WNAVYT6VP4B7WHYW6E6,01KRBV0WN5FJWMHP5ND68G3F72,2,openclaw,hand_start,5100000,872,5099128,2026-05-11T15:38:20.202277+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV1RR58YDARS5RDG0B7AZX,01KRBV0WN5FJWMHP5ND68G3F72,2,hermes,hand_end,5150000,8550,5141450,2026-05-11T15:38:48.966021+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV1RR96CCTWKEAQS5AAQPC,01KRBV0WN5FJWMHP5ND68G3F72,2,openclaw,hand_end,4850000,3001,4846999,2026-05-11T15:38:48.969141+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV1T3FSR2J3P6RS1618ZFP,01KRBV1T3B6V91CXJCZYQJ1T9B,3,hermes,hand_start,5150000,8550,5141450,2026-05-11T15:38:50.351592+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV1T3GN4YZ3JFZK1DXX2SN,01KRBV1T3B6V91CXJCZYQJ1T9B,3,openclaw,hand_start,4850000,3001,4846999,2026-05-11T15:38:50.352420+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV26AM8ZSNR3EMC5FKR09N,01KRBV1T3B6V91CXJCZYQJ1T9B,3,hermes,hand_end,5050000,10976,5039024,2026-05-11T15:39:02.868609+00:00
01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV26AP0E7913GCCQ2SSY44,01KRBV1T3B6V91CXJCZYQJ1T9B,3,openclaw,hand_end,4950000,3772,4946228,2026-05-11T15:39:02.870038+00:00
